1.4: Copy to Dataset Results,,,,,
Trial Name,Trace No. (T0S1),Start of Trace (Trial) (T0S1) (s),Baseline (T0S1R1) (mV),Antipeak Amp (T0S1R1) (mV),Time of Antipeak (Trace) (T0S1R1) (ms)
53451-T145-CA1-0009.abf,4,21.0211,-61.1512,-0.402788,1147.6
53454-T146-CA1-0005.abf,4,21.0211,-61.2823,-2.51979,468
53454-T147-SUB-0015.abf,4,21.0211,-61.7439,-4.89634,460.5
53454-T148-CA1-0025.abf,4,21.0211,-61.5206,-0.65389,471.6
53471-T113-CA1-0011.abf,4,21.0211,-59.9271,-0.752006,470.8
53472-T114-SUB-0010.abf,4,21.0211,-60.8335,0.0526331,1057.3
53472-T115-CA1-0021.abf,4,21.0211,-60.5813,0.288731,1199.9
53472-T117-SUB-0031.abf,4,21.0211,-60.7249,-1.55127,460.8
53472-T118-CA1-0041.abf,4,21.0211,-60.5039,-0.917793,471.9
53472-T119-CA1-0051.abf,4,21.0211,-60.7766,-2.84242,482.4
53477-T123-SUB-0005.abf,4,21.0211,-61.0434,-4.6813,484.5
53477-T125-SUB-0015.abf,4,21.0211,-60.9194,-0.085254,1222.5
53478-T126-CA1-0027.abf,4,21.0211,-61.3838,-2.82518,462
53478-T127-SUB-0037.abf,4,21.0211,-60.7362,-1.36705,488.6
53612-T141-CA1-0007.abf,4,21.0211,-60.6921,-0.220974,1362.5
53612-T142-SUB-0019.abf,4,21.0211,-60.9557,-2.47001,452.5
53612-T143-SUB-0030.abf,4,21.0211,-61.0712,-0.594677,1387.4
54232-T130-CA1-0014.abf,4,21.0211,-60.5175,-3.3965,479.4
54232-T131-SUB-0024.abf,4,21.0211,-61.4753,-3.38475,499.3
54233-T132-CA1-0005.abf,4,21.0211,-62.4585,-6.47057,459.4
54233-T134-SUB-0015.abf,4,21.0211,-60.9852,0.0416255,1199.9
54235-T136-CA1-0029.abf,4,21.0211,-61.3491,-1.8121,518.8
54235-T137-SUB-0039.abf,4,21.0211,-61.1158,-1.82166,487.1
54235-T138-CA1-0050.abf,4,21.0211,-61.2893,-1.82104,488.3
54235-T139-SUB-0060.abf,4,21.0211,-61.1034,-3.76682,480.1
61605-T351-SUB-0015.abf,4,21.0211,-61.0645,-1.08964,466.6
61605-T353-SUB-0025.abf,,,,-1.84284,480.9
61607-T355-CA1-0005.abf,4,21.0211,-60.8157,-1.47066,920.6
61607-T356-SUB-0019.abf,4,21.0211,-61.4807,-2.65708,496.2
61607-T357-CA1-0038.abf,4,21.0211,-60.6825,-3.9232,427.4
61609-T358-SUB-0007.abf,4,21.0211,-61.862,-5.85647,466.5
61609-T359-CA1-0034.abf,4,21.0211,-61.3082,-1.45633,441.4
61609-T360-SUB-0044.abf,4,21.0211,-60.4972,-1.0771,499
61610-T361-CA1-0005.abf,4,21.0211,-61.1144,0.282725,1069
61610-T362-SUB-0015.abf,4,21.0211,-61.135,0.0489524,1309.6
61610-T363-SUB-0025.abf,4,21.0211,-61.7408,0.156304,1183.4
61612-T365-CA1-0009.abf,4,21.0211,-59.8743,-7.18302,462.6
61612-T372-SUB-0019.abf,4,21.0211,-60.8067,-1.75433,558.9
61612-T373-SUB-0036.abf,4,21.0211,-60.9056,0.0331929,1139.1
61615-T374-CA1-0005.abf,4,21.0211,-60.7627,-4.58562,507.7
61615-T375-SUB-0015.abf,4,21.0211,-60.8137,-0.0994223,1330.1
61615-T376-CA1-0032.abf,4,21.0211,-60.535,-1.5378,478.9
61615-T377-SUB-0045.abf,4,21.0211,-61.2592,-1.55614,476.5
61615-T378-SUB-0055.abf,4,21.0211,-61.4282,-2.92323,524.5
63963-T411-CA1-0006.abf,4,21.0211,-61.6934,-0.135166,1289.4
63963-T412-CA1-0020.abf,4,21.0211,-60.053,-0.48373,501.3
63963-T413-SUB-0028.abf,4,21.0211,-60.8311,0.00958789,1073.6
63963-T414-SUB-0038.abf,4,21.0211,-60.9041,-0.181955,1376
63963-T415-SUB-0048.abf,4,21.0211,-60.7013,-0.171117,1116
63964-T416-SUB-0013.abf,4,21.0211,-60.8976,0.269383,454.9
63964-T417-SUB-0023.abf,4,21.0211,-61.4566,-1.16543,1271
63964-T418-SUB-0039.abf,4,21.0211,-60.7338,0.37008,1368.1
